student_id,name
imt2022001,Eshan Mukherjee
imt2022002,Priya Jain
imt2022003,Vikram Reddy
imt2022004,Sanjana Kumar
imt2022005,Vidya Patel
imt2022006,Advait Jain
imt2022007,Ramya Subramanian
imt2022008,Zoya Rao
imt2022009,Harini Gowda
imt2022010,Mahika Menon
imt2022011,Varun Kaur
imt2022012,Sourav Srinivasan
imt2022013,Aishwarya Yadav
imt2022014,Naveen Nayak
imt2022015,Lavanya Srinivasan
imt2022016,Shreya Singh
imt2022017,Neha Yadav
imt2022018,Vaishnavi Ghosh
imt2022019,Mihir Chandra
imt2022020,Jatin Patel
imt2022021,Vidya Bose
imt2022022,Prerna Dutta
imt2022023,Chaitanya Saxena
imt2022024,Rhea Mehta
imt2022025,Madhav Khan
imt2022026,Naveen Mishra
imt2022027,Mahika Saxena
imt2022028,Nithya Gupta
imt2022029,Naveen Das
imt2022030,Lavanya Mehta
imt2022031,Ananya Trivedi
imt2022032,Chaitanya Srinivasan
imt2022033,Aditi Sinha
imt2022034,Pranav Sharma
imt2022035,Vikram Saxena
imt2022036,Darshan Bose
imt2022037,Vidya Yadav
imt2022038,Srinidhi Mishra
imt2022039,Ujwal Krishnan
imt2022040,Zoya Gowda
imt2022041,Rashmi Bhat
imt2022042,Krishna Sinha
imt2022043,Madhav Srinivasan
imt2022044,Rhea Shetty
imt2022045,Chaitanya Ghosh
imt2022046,Rashmi Srinivasan
imt2022047,Anirudh Mehta
imt2022048,Kavya Ghosh
imt2022049,Rashmi Gupta
imt2022050,Divya Sharma
imt2022051,Siddharth Nair
imt2022052,Varun Gupta
imt2022053,Lavanya Gupta
imt2022054,Mihir Yadav
imt2022055,Priya Joshi
imt2022056,Vinay Menon
imt2022057,Sneha Kaur
imt2022058,Aditi Sharma
imt2022059,Nikhil Pai
imt2022060,Aishwarya Mukherjee
imt2022061,Arjun Srinivasan
imt2022062,Rhea Agarwal
imt2022063,Rohan Deshpande
imt2022064,Chaitanya Banerjee
imt2022065,Sneha Gupta
imt2022066,Darshan Bhat
imt2022067,Ritvik Gupta
imt2022068,Rahul Kulkarni
imt2022069,Sahana Pai
imt2022070,Srinidhi Gupta
imt2022071,Mihir Menon
imt2022072,Divya Ghosh
imt2022073,Uday Shetty
imt2022074,Gayatri Bhat
imt2022075,Dhruv Varma
imt2022076,Prerna Deshpande
imt2022077,Om Mishra
imt2022078,Rhea Ghosh
imt2022079,Mahika Srinivasan
imt2022080,Manasa Srinivasan
imt2022081,Eshan Gowda
imt2022082,Sahana Menon
imt2022083,Om Hegde
imt2022084,Ananya Krishnan
imt2022085,Ramya Dutta
imt2022086,Karthik Deshpande
imt2022087,Vidya Banerjee
imt2022088,Siddharth Pillai
imt2022089,Parth Chandra
imt2022090,Rhea Krishnan
imt2022091,Amrita Iyer
imt2022092,Karthik Gowda
imt2022093,Neha Sharma
imt2022094,Pranav Kaur
imt2022095,Uday Nair
imt2022096,Sanjana Pillai
imt2022097,Sameer Sinha
imt2022098,Vikram Kamath
imt2022099,Sahana Das
imt2022100,Rashmi Pillai
imt2022101,Karthik Bose
imt2022102,Ramya Mishra
imt2022103,Nikhil Yadav
imt2022104,Karthik Prasad
imt2022105,Meera Shetty
imt2022106,Swara Mishra
imt2022107,Rashmi Kulkarni
imt2022108,Anjali Shetty
imt2022109,Ananya Singh
imt2022110,Charvi Patel
imt2022111,Uday Singh
imt2022112,Kavya Prasad
imt2022113,Madhav Joshi
imt2022114,Sameer Khan
imt2022115,Dhruv Verma
imt2022116,Pranav Verma
imt2022117,Ujwal Dutta
imt2022118,Tanvi Patel
imt2022119,Ujwal Iyer
